tiempo_pasa_hasta_casa,"Pasan los días de vacaciones. Estás en casa tranquila, jugando, pero tus luces parpadean. El 2 de enero, Ona te llama: —{{agent.name}}, te necesito. Trae tu {{agent.specialItem}}.   Tenemos que investigar en mi casa.","Cozy 80s style living room, silhouete of a kid talking by phone, Christmas tree in the corner, lights in the room flickering ominously, rain on the window."
superjump_tarta,"Hora de la tarta. Se apagan las luces. Tú acaricias tu {{agent.specialItem}} en el bolsillo para darte seguridad. Ona sopla las velas y... ¡las luces parpadean! Nadie lo ve, solo vosotras. Tu instinto de {{agent.tag}} te dice que esto no ha acabado.","Birthday party room, dark room lit only by candles on a cake, silhouettes of children singing, flickering overhead lights, mysterious atmosphere, faint red glow in the background."
superjump_monitor,"Le enseñáis la foto al monitor. Él se pone pálido, pero luego sonríe forzado. —Nada chicas, será un fallo de la cámara. Tú eres muy {{agent.qualities[0]}} y sabes que miente. Aquí pasa algo raro.","A young male park monitor looking nervous and sweating, forced smile, holding a smartphone showing a photo of a dark shadow, arcade carpet floor, neon lights in background."
superjump_ignorar,"Decides pasar. Has venido a divertirte. Pero esa noche, sueñas con {{agent.fear}} y luces rojas. Al menos tienes un recuerdo del cumple. Objeto ganado: «recuerdo_superjump» FINAL SIMPLE: {{agent.name}} ignora la llamada.","Janitor mopping the floor of a trampoline park, erasing a red mark, kids leaving in the distance, lonely atmosphere, ‘The End’ feeling."
puzzle_caja_final,La caja tiene un teclado numérico brillante. Una voz dice: 'Solo la agente elegida conoce la clave'. Tu instinto te dice que uses tu número de la suerte.,"A high-tech looking safe box hidden under a desk, glowing keypad waiting for a code, magical aura, mysterious object."
ninja_simbolo,"Os acercáis. El símbolo está helado y da calambrazos. Sacas tu {{agent.specialItem}} para examinarlo, pero oís pasos. ¡Es el monitor! Os va a pillar. De repente, {{friend1.name}} aparece haciendo una voltereta exagerada. —¡Ayuda! ¡Creo que me he atascado! —grita {{friend1.name}} guiñándote un ojo. Gracias a su {{friend1.tag}}, el monitor se gira hacia ella. ¡Vía libre! Hacéis la foto rápida. Detrás de vosotras sale una sombra rara.","Close-up of a glowing red symbol on the floor, texture looks wet but cold, static electricity sparks, a scary dark shadow looming behind two young girls, dramatic angle, mystery clue."
laboratorio_alerta,,"School science laboratory in total darkness except for a glowing red symbol on a table, tense atmosphere, walkie-talkie on the table."
intro,"¡Cumple de Ona! Estás saltando a tope en el Super Jump. Risas, bolas de colores y tú, {{agent.name}}, haciendo tus mejores trucos. ¡ZAS! Las luces del techo parpadean tres veces. Cualquiera se asustaría, pero tú tienes {{agent.tag}}, así que te fijas bien. En la zona Ninja, ves algo en el suelo: Un círculo rojo que brilla. No es pintura. Ona encuentra una nota: ""27/12 – 11:20. COMIENZA."" Ona te mira: —Agente {{agent.name}}, saca tu {{agent.specialItem}}. Esto empieza.","Interior of a trampoline park called 'Super Jump', colorful foam pits, dim lighting with flickering ceiling lights, a glowing mysterious red symbol painted on the floor far away in a corner, slight fog, children playing in background."
final_secreto_agentes_legendarios,"¡La caja se abre! Dentro hay luz pura. Colocas tus objetos: recuerdo, sello, foto... La luz te envuelve a ti y a tu {{agent.specialItem}}. Una voz solemne dice: ""Agente {{agent.name}}, nivel Leyenda alcanzado."" Ona y tú sois las guardianas definitivas de Villena y Elda. FINAL SECRETO: LEYENDAS.","A table with a collection of objects (photo, stone, compass) glowing intensely, beams of magical light swirling around two girls, golden aura, epic legendary ending style."
final_misterio_abierto,"Apuntas todo en tu libreta con detalle {{agent.qualities[1]}}. Mejor no tocar nada peligroso. Os vais, pero sientes que algo os mira desde la oscuridad. Objeto ganado: «archivo_caso_abierto». FINAL SIMPLE: Caso abierto.","An open notebook full of notes and drawings of symbols, a dark laboratory door closing in the background, 'Case Open' stamp effect."
